estimated_stock_pct,quantity,temperature,category,unit_price,month,day_of_month,day_of_week,hour
0.89,3.0,-0.028849840255591022,11,11.19,3,1,1,9
0.14,3.0,-0.028849840255591022,21,1.49,3,1,1,9
0.67,0.0,-0.028849840255591022,0,14.19,3,1,1,9
0.82,0.0,-0.028849840255591022,3,20.19,3,1,1,9
0.05,0.0,-0.028849840255591022,16,8.19,3,1,1,9
0.1,0.0,-0.028849840255591022,3,15.99,3,1,1,9
0.83,0.0,-0.028849840255591022,16,11.19,3,1,1,9
0.67,0.0,-0.028849840255591022,12,16.19,3,1,1,9
0.35,3.0,-0.028849840255591022,10,3.99,3,1,1,9
0.9199999999999999,0.0,-0.028849840255591022,20,4.99,3,1,1,9
0.35,0.0,-0.028849840255591022,9,13.19,3,1,1,9
0.17333333333333334,0.0,-0.028849840255591022,13,19.99,3,1,1,9
0.335,0.0,-0.028849840255591022,13,20.49,3,1,1,9
0.48,1.0,-0.028849840255591022,2,8.19,3,1,1,9
0.67,6.0,-0.028849840255591022,10,1.49,3,1,1,9
0.92,0.0,-0.028849840255591022,15,16.99,3,1,1,9
0.345,0.0,-0.028849840255591022,16,8.49,3,1,1,9
0.76,0.0,-0.028849840255591022,11,18.19,3,1,1,9
0.735,0.0,-0.028849840255591022,6,16.49,3,1,1,9
0.17,0.0,-0.028849840255591022,3,16.19,3,1,1,9
0.88,3.0,-0.028849840255591022,8,8.19,3,1,1,9
0.5,3.0,-0.028849840255591022,11,18.49,3,1,1,9
0.71,0.0,-0.028849840255591022,20,3.49,3,1,1,9
0.84,0.0,-0.028849840255591022,2,8.19,3,1,1,9
0.64,0.0,-0.028849840255591022,7,3.19,3,1,1,9
0.65,0.0,-0.028849840255591022,17,3.49,3,1,1,9
0.44,0.0,-0.028849840255591022,2,7.99,3,1,1,9
0.76,0.0,-0.028849840255591022,9,4.99,3,1,1,9
0.36333333333333334,2.0,-0.028849840255591022,14,6.19,3,1,1,9
0.65,2.0,-0.028849840255591022,1,5.49,3,1,1,9
0.28,0.0,-0.028849840255591022,15,5.49,3,1,1,9
